ID,character,transliteration,name,scribal,cursive,sabaic,sabaic_image,group,previous,next,description
186,፩,1,,,,,,Numerals,185,187,
187,፪,2,,,,,,Numerals,186,188,
188,፫,3,,,,,,Numerals,187,189,
189,፬,4,,,,,,Numerals,188,190,
190,፭,5,,,,,,Numerals,189,191,
191,፮,6,,,,,,Numerals,190,192,
192,፯,7,,,,,,Numerals,191,193,
193,፰,8,,,,,,Numerals,192,194,
194,፱,9,,,,,,Numerals,193,195,
195,፲,10,,,,,,Numerals,194,196,
196,፳,20,,,,,,Numerals,195,197,
197,፴,30,,,,,,Numerals,196,198,
198,፵,40,,,,,,Numerals,197,199,
199,፶,50,,,,,,Numerals,198,200,
200,፷,60,,,,,,Numerals,199,201,
201,፸,70,,,,,,Numerals,200,202,
202,፹,80,,,,,,Numerals,201,203,
203,፺,90,,,,,,Numerals,202,204,
204,፻,100,,,,,,Numerals,203,205,
205,፼,10000,,,,,,Numerals,204,,
